Date,QUIC Canadian Fund Return,S&P/TSX Composite Total Return Index,QUIC Canadian Fund Return,S&P/TSX Composite Total Return Index
08-05-2022,123.59,75072.85,-0.13%,0.22%
08-08-2022,124.53,75260.48,0.76%,0.25%
08-09-2022,123.30,74912.80,-0.99%,-0.46%
08-10-2022,125.45,76089.92,1.74%,1.57%
08-11-2022,126.56,76503.21,0.88%,0.54%
08-12-2022,127.82,77269.85,1.00%,1.00%
08-15-2022,128.75,77272.94,0.73%,0.00%
08-16-2022,129.07,77615.33,0.25%,0.44%
08-17-2022,127.88,77283.28,-0.92%,-0.43%
08-18-2022,128.92,77612.88,0.81%,0.43%
08-19-2022,127.20,77024.85,-1.33%,-0.76%
08-22-2022,125.60,76519.24,-1.26%,-0.66%
08-23-2022,126.30,76571.27,0.56%,0.07%
08-24-2022,126.90,76713.86,0.48%,0.19%
08-25-2022,127.66,77294.55,0.60%,0.76%
08-26-2022,124.82,76151.69,-2.22%,-1.48%
08-29-2022,124.32,76009.23,-0.41%,-0.19%
08-30-2022,122.51,74809.75,-1.45%,-1.58%
08-31-2022,122.33,74122.64,-0.15%,-0.92%
09-01-2022,120.86,73424.84,-1.20%,-0.94%
09-02-2022,121.25,73918.15,0.33%,0.67%
09-06-2022,120.14,73217.34,-0.92%,-0.95%
09-07-2022,120.70,73821.21,0.47%,0.82%
09-08-2022,121.82,74496.70,0.93%,0.92%
09-09-2022,124.28,75879.51,2.02%,1.86%
09-12-2022,124.98,76700.30,0.57%,1.08%
09-13-2022,123.01,75390.81,-1.58%,-1.71%
09-14-2022,123.73,75745.99,0.59%,0.47%
09-15-2022,122.26,75133.97,-1.19%,-0.81%
09-16-2022,121.00,74464.50,-1.03%,-0.89%
09-19-2022,121.86,75143.32,0.71%,0.91%
09-20-2022,119.87,74406.63,-1.64%,-0.98%
09-21-2022,118.37,73702.13,-1.25%,-0.95%
09-22-2022,116.36,73006.69,-1.70%,-0.94%
09-23-2022,112.64,71010.53,-3.20%,-2.73%
09-26-2022,111.23,70419.04,-1.26%,-0.83%
09-27-2022,111.12,70365.37,-0.10%,-0.08%
09-28-2022,113.63,71753.97,2.26%,1.97%
09-29-2022,112.60,70958.21,-0.91%,-1.11%
09-30-2022,112.67,70967.39,0.06%,0.01%
10-03-2022,115.92,72681.25,2.89%,2.41%
10-04-2022,119.70,74566.70,3.26%,2.59%
10-05-2022,119.29,74043.57,-0.34%,-0.70%
10-06-2022,118.16,73101.03,-0.94%,-1.27%
10-07-2022,116.02,71576.24,-1.82%,-2.09%
10-11-2022,114.04,70164.77,-1.70%,-1.97%
10-12-2022,114.21,70124.73,0.15%,-0.06%
10-13-2022,116.01,71695.85,1.57%,2.24%
10-14-2022,114.29,70589.58,-1.48%,-1.54%
10-17-2022,116.10,71724.69,1.58%,1.61%
10-18-2022,116.72,72407.09,0.54%,0.95%
10-19-2022,116.68,71930.51,-0.03%,-0.66%
10-20-2022,115.66,71565.88,-0.88%,-0.51%
10-21-2022,116.58,72651.74,0.79%,1.52%
10-24-2022,116.43,72876.25,-0.13%,0.31%
10-25-2022,117.06,73611.62,0.54%,1.01%
10-26-2022,119.04,74316.04,1.69%,0.96%
10-27-2022,119.15,74594.92,0.09%,0.38%
10-28-2022,119.30,75065.13,0.13%,0.63%
10-31-2022,118.91,74921.23,-0.33%,-0.19%
11-01-2022,119.47,75274.47,0.47%,0.47%
11-02-2022,117.28,74347.57,-1.83%,-1.23%
11-03-2022,117.51,74209.53,0.19%,-0.19%
11-04-2022,118.33,75014.03,0.70%,1.08%
11-07-2022,119.30,75384.65,0.82%,0.49%
11-08-2022,118.64,75844.75,-0.55%,0.61%
11-09-2022,117.10,74627.10,-1.30%,-1.61%
11-10-2022,121.07,77119.84,3.39%,3.34%
11-11-2022,121.69,77587.22,0.52%,0.61%
11-14-2022,120.62,76903.29,-0.88%,-0.88%
11-15-2022,121.98,77187.53,1.12%,0.37%
11-16-2022,120.84,77055.10,-0.93%,-0.17%
11-17-2022,120.32,76784.48,-0.42%,-0.35%
11-18-2022,120.91,77159.83,0.49%,0.49%
11-21-2022,126.16,77163.19,4.34%,0.00%
11-22-2022,127.78,78114.72,1.29%,1.23%
11-23-2022,128.25,78356.17,0.36%,0.31%
11-24-2022,129.07,78598.54,0.64%,0.31%
11-25-2022,129.12,78752.55,0.04%,0.20%
11-28-2022,128.03,78122.13,-0.85%,-0.80%
11-29-2022,129.34,78378.33,1.02%,0.33%
11-30-2022,130.45,79070.81,0.86%,0.88%
12-01-2022,131.54,79378.99,0.83%,0.39%
12-02-2022,131.11,79225.12,-0.32%,-0.19%
12-05-2022,129.36,78285.31,-1.34%,-1.19%
12-06-2022,127.78,77311.91,-1.22%,-1.24%
12-07-2022,127.42,77261.85,-0.28%,-0.06%
12-08-2022,128.25,77264.17,0.65%,0.00%
12-09-2022,127.91,77178.60,-0.26%,-0.11%
12-12-2022,128.39,77459.63,0.38%,0.36%
12-13-2022,128.58,77476.52,0.15%,0.02%
12-14-2022,127.68,77014.45,-0.70%,-0.60%
12-15-2022,126.30,75915.59,-1.08%,-1.43%
12-16-2022,125.15,75306.17,-0.91%,-0.80%
12-19-2022,124.13,74367.70,-0.82%,-1.25%
12-20-2022,124.77,74784.78,0.52%,0.56%
12-21-2022,126.32,75810.68,1.24%,1.37%
12-22-2022,124.69,74961.64,-1.29%,-1.12%
12-23-2022,125.36,75590.43,0.54%,0.84%
12-28-2022,123.32,74728.01,-1.62%,-1.14%
12-29-2022,125.55,75591.24,1.81%,1.16%
01-03-2023,124.62,75461.27,-0.75%,-0.17%
01-04-2023,125.58,76024.25,0.77%,0.75%
01-05-2023,125.33,75753.13,-0.20%,-0.36%
01-06-2023,126.79,76948.40,1.17%,1.58%
01-09-2023,127.60,77113.87,0.63%,0.22%
01-10-2023,128.23,77276.16,0.50%,0.21%
01-11-2023,129.08,77766.19,0.66%,0.63%
01-12-2023,130.70,78491.23,1.26%,0.93%
01-13-2023,131.07,79069.76,0.29%,0.74%
01-16-2023,131.41,79187.26,0.25%,0.15%
01-17-2023,131.88,79448.05,0.36%,0.33%
01-18-2023,131.43,79140.80,-0.34%,-0.39%
01-19-2023,131.29,79005.70,-0.11%,-0.17%
01-20-2023,132.17,79634.95,0.67%,0.80%
01-23-2023,132.90,80150.57,0.55%,0.65%
01-24-2023,132.71,80142.69,-0.14%,-0.01%
01-25-2023,132.30,80076.04,-0.31%,-0.08%
01-26-2023,133.01,80468.25,0.53%,0.49%
01-27-2023,135.21,80549.57,1.66%,0.10%
01-30-2023,134.57,80007.79,-0.48%,-0.67%
01-31-2023,136.90,80772.20,1.73%,0.96%
02-01-2023,136.78,80710.34,-0.09%,-0.08%
02-02-2023,136.48,80669.17,-0.22%,-0.05%
02-03-2023,137.82,80738.82,0.98%,0.09%
02-06-2023,137.35,80235.42,-0.34%,-0.62%
02-07-2023,138.26,80609.12,0.66%,0.47%
02-08-2023,137.87,80434.24,-0.29%,-0.22%
02-09-2023,137.35,80117.18,-0.37%,-0.39%
02-10-2023,137.18,80173.08,-0.13%,0.07%
02-13-2023,138.52,80523.79,0.98%,0.44%
02-14-2023,138.98,80590.94,0.33%,0.08%
02-15-2023,139.07,80651.64,0.06%,0.08%
02-16-2023,138.12,80208.25,-0.68%,-0.55%
02-17-2023,136.24,79853.36,-1.36%,-0.44%
02-21-2023,133.04,78831.21,-2.35%,-1.28%
02-22-2023,133.14,78605.13,0.08%,-0.29%
02-23-2023,132.69,78592.79,-0.34%,-0.02%
02-24-2023,132.83,78713.48,0.10%,0.15%
02-27-2023,133.75,78925.39,0.70%,0.27%
02-28-2023,134.59,78794.47,0.63%,-0.17%
03-01-2023,135.72,78945.78,0.84%,0.19%
03-02-2023,135.56,79275.79,-0.12%,0.42%
03-03-2023,137.44,80229.79,1.39%,1.20%
03-06-2023,135.69,79970.72,-1.27%,-0.32%
03-07-2023,134.20,79041.02,-1.09%,-1.16%
03-08-2023,134.44,79319.78,0.18%,0.35%
03-09-2023,131.68,78339.86,-2.05%,-1.24%
03-10-2023,127.27,77124.19,-3.35%,-1.55%
03-13-2023,128.06,76400.36,0.62%,-0.94%
03-14-2023,128.75,76875.73,0.54%,0.62%
03-15-2023,126.60,75649.80,-1.67%,-1.59%
03-16-2023,127.86,76304.23,1.00%,0.87%
03-17-2023,126.57,75713.54,-1.01%,-0.77%
03-20-2023,126.63,76227.90,0.05%,0.68%
03-21-2023,127.93,76765.84,1.03%,0.71%
03-22-2023,126.49,76291.73,-1.12%,-0.62%
03-23-2023,126.79,76011.69,0.23%,-0.37%
03-24-2023,126.64,76182.85,-0.11%,0.23%
03-27-2023,127.35,76685.13,0.55%,0.66%
03-28-2023,125.52,76813.25,-1.43%,0.17%
03-29-2023,128.34,77517.51,2.25%,0.92%
03-30-2023,128.99,78002.07,0.50%,0.63%
03-31-2023,130.48,78624.70,1.15%,0.80%
04-03-2023,132.41,79355.64,1.48%,0.93%
04-04-2023,132.02,79345.81,-0.29%,-0.01%
04-05-2023,130.34,78939.20,-1.28%,-0.51%
04-06-2023,130.57,79084.63,0.18%,0.18%
04-10-2023,130.99,79394.47,0.32%,0.39%
04-11-2023,132.01,79966.30,0.78%,0.72%
04-12-2023,132.12,80093.43,0.08%,0.16%
04-13-2023,133.02,80527.89,0.68%,0.54%
04-14-2023,132.90,80590.84,-0.09%,0.08%
04-17-2023,134.35,80834.01,1.09%,0.30%
04-18-2023,134.54,81001.28,0.15%,0.21%
04-19-2023,135.25,80986.38,0.52%,-0.02%
04-20-2023,134.38,80790.05,-0.64%,-0.24%
04-21-2023,134.85,81034.63,0.35%,0.30%
04-24-2023,134.82,81020.15,-0.02%,-0.02%
04-25-2023,133.28,80091.99,-1.15%,-1.15%
04-26-2023,132.78,79805.76,-0.37%,-0.36%
04-27-2023,133.61,80455.97,0.62%,0.81%
04-28-2023,136.02,80907.59,1.81%,0.56%
05-01-2023,137.42,80823.53,1.03%,-0.10%
05-02-2023,135.51,80009.95,-1.39%,-1.01%
05-03-2023,134.85,79804.13,-0.49%,-0.26%
05-04-2023,134.60,79347.42,-0.19%,-0.57%
05-05-2023,137.61,80538.65,2.24%,1.50%
05-08-2023,137.97,80707.74,0.26%,0.21%
05-09-2023,139.16,80714.34,0.86%,0.01%
05-10-2023,138.05,80388.48,-0.80%,-0.40%
05-11-2023,137.50,80068.12,-0.40%,-0.40%
05-12-2023,138.16,80126.18,0.48%,0.07%
05-15-2023,139.50,80598.41,0.97%,0.59%
05-16-2023,138.22,79437.16,-0.91%,-1.44%
05-17-2023,138.86,79653.76,0.46%,0.27%
05-18-2023,138.50,79664.68,-0.26%,0.01%
05-19-2023,138.89,79876.59,0.28%,0.27%
05-23-2023,137.98,79091.72,-0.65%,-0.98%
05-24-2023,136.80,78235.65,-0.86%,-1.08%
05-25-2023,135.40,77636.29,-1.02%,-0.77%
05-26-2023,136.54,78210.82,0.84%,0.74%
05-29-2023,137.95,78400.34,1.03%,0.24%
05-30-2023,136.64,77553.92,-0.95%,-1.08%
05-31-2023,136.43,76906.15,-0.15%,-0.84%
06-01-2023,137.53,77306.04,0.81%,0.52%
06-02-2023,139.83,78710.27,1.67%,1.82%
06-05-2023,139.45,78344.66,-0.27%,-0.46%
06-06-2023,140.19,78834.56,0.54%,0.63%
06-07-2023,139.59,78553.19,-0.43%,-0.36%
06-08-2023,139.32,78425.13,-0.20%,-0.16%
06-09-2023,139.27,78225.98,-0.03%,-0.25%
06-12-2023,139.26,78341.36,-0.01%,0.15%
06-13-2023,139.60,78613.06,0.24%,0.35%
06-14-2023,139.76,78773.65,0.12%,0.20%
06-15-2023,139.58,78854.62,-0.13%,0.10%
06-16-2023,138.92,78649.96,-0.47%,-0.26%
06-19-2023,139.07,78489.96,0.11%,-0.20%
06-20-2023,138.29,77781.57,-0.56%,-0.90%
06-21-2023,139.04,77599.69,0.54%,-0.23%
06-22-2023,138.39,77107.24,-0.47%,-0.63%
06-23-2023,137.56,76476.17,-0.60%,-0.82%
06-26-2023,137.65,77142.10,0.07%,0.87%
06-27-2023,139.15,77738.05,1.09%,0.77%
06-28-2023,139.75,78075.87,0.43%,0.43%
06-29-2023,140.77,78530.91,0.73%,0.58%
06-30-2023,142.89,79486.32,1.51%,1.22%
07-04-2023,142.53,79717.52,-0.25%,0.29%
07-05-2023,141.77,79319.09,-0.53%,-0.50%
07-06-2023,140.82,78165.76,-0.67%,-1.45%
07-07-2023,141.78,78294.74,0.68%,0.17%
07-10-2023,142.33,78260.84,0.39%,-0.04%
07-11-2023,143.52,78482.39,0.84%,0.28%
07-12-2023,144.74,79241.23,0.85%,0.97%
07-13-2023,145.79,80058.99,0.73%,1.03%
07-14-2023,145.32,79997.89,-0.32%,-0.08%
07-17-2023,145.29,79858.73,-0.02%,-0.17%
07-18-2023,146.49,80450.07,0.82%,0.74%
07-19-2023,147.06,80902.75,0.39%,0.56%
07-20-2023,146.72,80688.39,-0.23%,-0.26%
07-21-2023,147.05,81125.20,0.23%,0.54%
07-24-2023,147.80,81261.84,0.51%,0.17%
07-25-2023,147.97,81192.90,0.12%,-0.08%
07-26-2023,147.98,81233.25,0.01%,0.05%
07-27-2023,146.13,80566.24,-1.25%,-0.82%
07-28-2023,147.19,81107.22,0.73%,0.67%
07-31-2023,148.55,81536.38,0.92%,0.53%
08-01-2023,148.08,81166.08,-0.32%,-0.45%
08-02-2023,145.80,79923.53,-1.54%,-1.53%
08-03-2023,145.62,79538.21,-0.12%,-0.48%
08-04-2023,145.77,79994.52,0.10%,0.57%
08-08-2023,145.38,79875.70,-0.26%,-0.15%
08-09-2023,145.69,80149.60,0.21%,0.34%
08-10-2023,145.96,80418.24,0.18%,0.34%
08-11-2023,146.55,80683.33,0.40%,0.33%
08-14-2023,146.27,80271.30,-0.19%,-0.51%
08-15-2023,144.05,78727.95,-1.52%,-1.92%
08-16-2023,143.43,78728.22,-0.43%,0.00%
08-17-2023,142.47,78389.61,-0.67%,-0.43%
08-18-2023,142.76,78423.38,0.20%,0.04%
08-21-2023,142.75,78290.97,0.00%,-0.17%
08-22-2023,143.12,77939.01,0.26%,-0.45%
08-23-2023,143.93,78689.86,0.56%,0.96%
08-24-2023,142.73,78284.78,-0.84%,-0.51%
08-25-2023,143.60,78523.21,0.61%,0.30%
08-28-2023,144.60,79273.64,0.70%,0.96%
08-29-2023,146.22,80337.91,1.12%,1.34%
08-30-2023,146.20,80534.16,-0.02%,0.24%
08-31-2023,146.59,80418.41,0.27%,-0.14%
09-01-2023,147.27,81421.40,0.46%,1.25%
09-05-2023,146.53,80899.89,-0.50%,-0.64%
09-06-2023,145.45,80160.56,-0.74%,-0.91%
09-07-2023,143.40,79819.08,-1.41%,-0.43%
09-08-2023,143.12,79591.74,-0.20%,-0.28%
09-11-2023,143.20,80020.36,0.06%,0.54%
09-12-2023,143.35,80182.84,0.11%,0.20%
09-13-2023,142.52,80408.04,-0.58%,0.28%
09-14-2023,144.04,81649.87,1.07%,1.54%
09-15-2023,144.03,81866.22,-0.01%,0.26%
09-18-2023,143.42,81352.12,-0.43%,-0.63%
09-19-2023,142.23,80271.90,-0.83%,-1.33%
09-20-2023,141.94,80257.19,-0.20%,-0.02%
09-21-2023,139.61,78578.81,-1.64%,-2.09%
09-22-2023,139.82,78542.11,0.15%,-0.05%
09-25-2023,140.34,78624.07,0.38%,0.10%
09-26-2023,139.12,77654.03,-0.87%,-1.23%
09-27-2023,139.04,77201.85,-0.06%,-0.58%
09-28-2023,140.15,77899.35,0.80%,0.90%
09-29-2023,140.03,77738.39,-0.09%,-0.21%
10-02-2023,138.28,76289.98,-1.25%,-1.86%
10-03-2023,136.98,75668.33,-0.93%,-0.81%
10-04-2023,136.76,75723.59,-0.16%,0.07%
10-05-2023,136.72,76182.88,-0.03%,0.61%
10-06-2023,137.62,76614.03,0.66%,0.57%
10-10-2023,138.79,77629.63,0.85%,1.33%
10-11-2023,139.29,78277.08,0.36%,0.83%
10-12-2023,137.67,77626.63,-1.16%,-0.83%
10-13-2023,136.91,77478.17,-0.55%,-0.19%
10-16-2023,137.77,78107.05,0.63%,0.81%
10-17-2023,138.10,78393.67,0.24%,0.37%
10-18-2023,136.26,77430.13,-1.33%,-1.23%
10-19-2023,134.89,77024.52,-1.01%,-0.52%
10-20-2023,133.49,76096.30,-1.04%,-1.21%
10-23-2023,132.69,75830.90,-0.60%,-0.35%
10-24-2023,131.58,75591.02,-0.84%,-0.32%
10-25-2023,131.34,75489.63,-0.18%,-0.13%
10-26-2023,131.46,75202.54,0.09%,-0.38%
10-27-2023,131.42,74682.23,-0.03%,-0.69%
10-30-2023,131.08,75169.91,-0.26%,0.65%
10-31-2023,131.82,75241.96,0.57%,0.10%
11-01-2023,132.43,76062.87,0.47%,1.09%
11-02-2023,135.72,78245.08,2.48%,2.87%
11-03-2023,137.96,79036.51,1.65%,1.01%
11-06-2023,136.94,78713.91,-0.74%,-0.41%
11-07-2023,135.69,78045.58,-0.92%,-0.85%
11-08-2023,136.50,77864.67,0.60%,-0.23%
11-09-2023,136.23,78093.46,-0.20%,0.29%
11-10-2023,136.98,78360.84,0.56%,0.34%
11-13-2023,137.36,78578.83,0.27%,0.28%
11-14-2023,139.22,79886.73,1.36%,1.66%
11-15-2023,139.57,80026.09,0.25%,0.17%
11-16-2023,138.28,80023.14,-0.93%,0.00%
11-17-2023,139.03,80514.40,0.55%,0.61%
11-20-2023,139.65,80797.31,0.44%,0.35%
11-21-2023,138.93,80272.82,-0.51%,-0.65%
11-22-2023,138.73,80289.78,-0.14%,0.02%
11-23-2023,138.73,80302.19,0.00%,0.02%
11-24-2023,139.05,80248.10,0.23%,-0.07%
11-27-2023,138.43,79969.47,-0.45%,-0.35%
11-28-2023,138.58,79999.32,0.11%,0.04%
11-29-2023,139.16,80357.99,0.42%,0.45%
11-30-2023,139.25,80872.44,0.07%,0.64%
12-01-2023,140.93,81740.26,1.21%,1.07%
12-04-2023,140.48,81571.02,-0.32%,-0.21%
12-05-2023,139.74,81434.38,-0.52%,-0.17%
12-06-2023,139.30,81048.34,-0.32%,-0.47%
12-07-2023,138.68,81102.65,-0.45%,0.07%
12-08-2023,139.05,81329.94,0.27%,0.28%
12-11-2023,138.71,81277.22,-0.25%,-0.06%
12-12-2023,137.90,80941.75,-0.59%,-0.41%
12-13-2023,140.73,82524.32,2.06%,1.96%
12-14-2023,142.95,83187.80,1.58%,0.80%
12-15-2023,141.21,82188.35,-1.22%,-1.20%
12-18-2023,141.59,82562.90,0.27%,0.46%
12-19-2023,143.20,83432.52,1.14%,1.05%
12-20-2023,141.78,82483.74,-0.99%,-1.14%
12-21-2023,142.87,83155.39,0.77%,0.81%
12-22-2023,142.86,83617.77,-0.01%,0.56%
12-27-2023,143.71,84180.53,0.60%,0.67%
12-28-2023,143.63,83920.08,-0.05%,-0.31%
12-29-2023,143.48,84036.60,-0.11%,0.14%
01-02-2024,142.98,83726.97,-0.35%,-0.37%
01-03-2024,142.32,83512.15,-0.46%,-0.26%
01-04-2024,142.51,83724.38,0.13%,0.25%
01-05-2024,143.30,83990.42,0.55%,0.32%
01-08-2024,144.02,84541.43,0.50%,0.66%
01-09-2024,143.18,84176.99,-0.58%,-0.43%
01-10-2024,143.13,84251.00,-0.03%,0.09%
01-11-2024,142.74,83965.92,-0.27%,-0.34%
01-12-2024,143.26,84255.25,0.36%,0.34%
01-15-2024,143.85,84543.04,0.41%,0.34%
01-16-2024,142.50,84086.38,-0.93%,-0.54%
01-17-2024,141.55,83083.29,-0.67%,-1.19%
01-18-2024,142.19,83331.02,0.45%,0.30%
01-19-2024,143.06,83932.38,0.61%,0.72%
01-22-2024,143.44,84003.77,0.27%,0.09%
01-23-2024,144.27,84447.10,0.58%,0.53%
01-24-2024,145.11,84466.04,0.58%,0.02%
01-25-2024,146.04,84770.41,0.64%,0.36%
01-26-2024,146.76,84865.76,0.50%,0.11%
01-29-2024,147.15,85196.77,0.26%,0.39%
01-30-2024,147.02,85320.66,-0.08%,0.15%
01-31-2024,146.29,84500.02,-0.50%,-0.96%
02-01-2024,145.88,84891.25,-0.28%,0.46%
02-02-2024,145.40,84754.24,-0.33%,-0.16%
02-05-2024,143.39,83897.29,-1.38%,-1.01%
02-06-2024,144.13,84242.35,0.52%,0.41%
02-07-2024,144.37,84288.32,0.17%,0.05%
02-08-2024,143.75,84089.20,-0.43%,-0.24%
02-09-2024,144.11,84450.81,0.25%,0.43%
02-12-2024,144.48,84682.73,0.25%,0.27%
02-13-2024,141.03,82743.95,-2.39%,-2.29%
02-14-2024,143.30,84025.02,1.61%,1.55%
02-15-2024,146.33,85373.72,2.12%,1.61%
02-16-2024,146.02,85506.18,-0.21%,0.16%
02-20-2024,144.35,85356.30,-1.15%,-0.18%
02-21-2024,144.22,85175.68,-0.09%,-0.21%
02-22-2024,144.77,85768.04,0.38%,0.70%
02-23-2024,144.74,86150.54,-0.02%,0.45%
02-26-2024,144.68,85793.11,-0.04%,-0.41%
02-27-2024,144.47,85807.33,-0.15%,0.02%
02-28-2024,144.12,85543.00,-0.24%,-0.31%
02-29-2024,145.19,86039.21,0.74%,0.58%
